NO,KABUPATEN / KOTA,JUMLAH DTW TERPANTAU,,DESTINASI WISATA,,,JUMLAH WISATAWAN LEBARAN 2023,KETRANGAN
,,,,,latitude,longitude,,
,,,,,,,,
1,KUTAI KERTANEGARA,12,1,Pantai Panrita Lopi,-0.206838251,117.4367143,"55,045",
,,,2,Pantai Tanah Merah,-1.048995612,117.1018036,"7,069",
,,,3,Pantai Ambalat,-1.124669228,117.0410268,"5,713",
,,,4,LADAYA,-0.391121064,116.9780328,"5,374",
,,,5,Pulau Kumala,-0.426608465,116.998549,"4,413",
,,,6,Museum Mulawarman,-0.413003479,116.9902988,"3,114",
,,,7,Pantai Malabar ,-0.256568047,117.4223564,"2,266",
,,,8,Makam Raja Kutai ke VI,-0.565919086,117.3143252,"2,232",
,,,9,Taman Gubang,-0.358609035,117.0143197,"1,314",
,,,10,Museum Kayu,-0.405764736,116.9713822,225,
,,,11,Kembang Jaong,-0.420075079,116.9207532,225,
,,,12,Waduk Panji Sukarame,-0.40841555,116.9750214,164,
,JUMLAH,,,,,,"87,154",
2,BALIKPAPAN,5,1,PANTI MANGGAR SEGARA SARI,,,"11,429",
,,,2,PANTAI LAMARU,,,"6,085",
,,,3,PENANGKARAN BUAYA TERITIP,,,"1,019",
,,,4,CARIBEAN WATERPARK,,,340,
,,,5,KEBUN RAYA BALIKPAPAN,,,158,
,JUMLAH,,,,,,"19,031",
3,SAMARINDA,8,1,Jessica Waterpark ,,,4479,
,,,2,Mesjid shiratal Mustaqim ,,,5896,
,,,3,Mahakm lampion garden ,,,4509,
,,,4,PEMANDIAN SERAYU,,,1342,
,,,5,Nauren mini garden ,,,425,
,,,6,Taman salma sofa ,,,850,
,,,7,Budhist center ,,,125,
,,,8,KAPAL WISATA  PESUT ETAM,,,724,
,JUMLAH,,,,,,"18,350",
4,KUTAI BARAT,11,1,BUMI PERKEMAHAN BATUQ BURA,,,"6,023",
,,,2,AIR TERJUN MAPAN,,,973,
,,,3,HEMAQ BENIUNG,,,485,
,,,4,AIR TERJUN TABALAS,,,440,
,,,5,DANAU BELUQ,,,179,
,,,6,DANAU ACO,,,173,
,,,,,,,,
,,,,,,,,
,,,7,WADUK SEMBIANG MOLLO,,,116,
,,,8,KERSIK KERBANGAN,,,22,
,,,9,AIR TERJUN MANARUNG,,,16,
,,,10,PANCURAN SENGKREAQ,,,6,
,,,11,SENTRA KERAJINAN TANJUNG ISUY,,,2,
,JUMLAH,,,,,,"8,435",
5,PASER,8,1,PANTAI PASIR MAYANG,,,6500,
,,,2,MUSEUM SADURENGAS,,,1750,
,,,3,DOYAM TURU LIANG BATUTULIS LEMPESU,,,1418,
,,,4,KEMILAU LAUT PODONG,,,750,
,,,5,GUNUNG EMBUN,,,201,
,,,6,"GOA LOSAN, BATU KAJANG",,,70,
,,,7,LIANG MANGKULANGIT,,,19,
,,,8,"DQNUM LAYONG , LONGKALI",,,6,
,JUMLAH,,,,,,"10,714",
6,PENAJAM PASER UTARA,6,1, Salo Loang + Pejala (Tanjung Jumlai) ,,,"28,000",
,,,2, Pantai Istana Amal ,,,"10,951",
,,,3, Tanjung Tengah + Pantai Corong ,,,"9,600",
,,,4, Pantai Nipah-Nipah ,,,"9,050",
,,,5, D'Wish Gunung Mulia ,,,"1,776",
,,,6, Ekowisata Kampung Baru ,,,550,
,JUMLAH,,,,,,"59,927",
7,BONTANG,1,1,BERAS BASAH,,,"2,000",
,JUMLAH,,,,,,"2,000",
8,BERAU,11,1,Tulung Ni Lenggo,,,"7,200",
,,,2,Derawan,,,"4,325",
,,,3,Kaniungan ,,,"3,000",
,,,4,Taman Sungai Dumaring ,,,"3,401",
,,,5,Maratua,,,"2,050",
,,,6,Mangrove Semanting ,,,"1,052",
,,,7,Water Boom Rinjani Makmur,,,803,
,,,8,Tapal Kuda,,,500,
,,,9,Goa Halo Tabung ,,,384,
,,,10,Keraton Sambaliung,,,101,
,,,11,Museum Batiwakkal ,,,36,
,JUMLAH,,,,,,"22,852",
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
9,MAHULU,,,,,,, BELUM ADA DATA MASUK 
10,KUTIM,,,,,,, BELUM ADA DATA MASUK 
JUMLAH KESELURUHAN,,,,,,,"228,463",
,,,,TERBILANG,,,DUA RATUS DUA PULUH DELAPAN RIBU EMPAT RATUS ENAM PULUH TIGA ,
,,,,,,,,
CATATAN :,,,,,,,,
1,Data Kunjungan di DTW selama Liburan Idul Fitri 1444H Tahun 2023,,,,,,,
2,Jumlah DTW yg melaporkan dan yg terpantau,,,,,,,
3,DTW diurutkan sesuai dengan banyaknya jumlah kunjungan di Kabupaten/Kota,,,,,,,
